ID caso;Nombre Actividad;Inicio;Fin;Ejecutor
10;Alarma domiciliaria;2021-06-02 04:03:34;2021-06-02 04:03:34;Sistema
10;Revisar cámaras;2021-06-02 04:04:26;2021-06-02 04:05:27;Lorenzo
10;Registrar hecho fortuito;2021-06-02 04:05:27;2021-06-02 04:05:27;Lorenzo
10;Avisar hecho fortuito;2021-06-02 04:05:40;2021-06-02 04:08:17;Lorenzo
11;Alarma domiciliaria;2021-06-02 05:22:52;2021-06-02 05:22:52;Sistema
11;Revisar cámaras;2021-06-02 05:23:41;2021-06-02 05:28:41;Lorenzo
11;Registrar hecho no precisado;2021-06-02 05:28:41;2021-06-02 05:28:41;Lorenzo
11;Solicitar revisar alarma;2021-06-02 05:28:54;2021-06-02 05:30:04;Lorenzo
12;Alarma domiciliaria;2021-06-02 06:43:47;2021-06-02 06:43:47;Sistema
12;Revisar cámaras;2021-06-02 06:44:14;2021-06-02 06:47:47;Lorenzo
12;Te atrapé;2021-06-02 06:47:47;2021-06-02 06:47:47;Lorenzo
12;Señal persona casa;2021-06-02 06:49:15;2021-06-02 06:49:35;Lorenzo
13;Alarma domiciliaria;2021-06-02 02:45:39;2021-06-02 02:45:39;Sistema
13;Revisar cámaras;2021-06-02 02:46:29;2021-06-02 02:51:03;Alexander
13;Te atrapé;2021-06-02 02:51:03;2021-06-02 02:51:03;Alexander
13;Registrar intruso detectado;2021-06-02 02:51:34;2021-06-02 02:52:24;Alexander
13;Activar alarma casa;2021-06-02 02:52:32;2021-06-02 02:52:32;Alexander
13;Alertar móvil de seguridad;2021-06-02 02:54:18;2021-06-02 02:55:51;Alexander
13;Concurrir a casa afectada;2021-06-02 02:55:52;2021-06-02 03:02:16;Sebastian
13;Contactar dueño casa;2021-06-02 03:02:44;2021-06-02 03:04:41;Sebastian
13;Notificar llegada a central;2021-06-02 03:04:41;2021-06-02 03:05:50;Sebastian
13;Revisar eventuales daños;2021-06-02 03:07:23;2021-06-02 03:27:23;Sebastian
13;Notificar fin operativo;2021-06-02 03:29:56;2021-06-02 03:33:29;Sebastian
13;Dar mensajes disuasivos;2021-06-02 02:55:58;2021-06-02 02:57:47;Alexander
13;Activar alarma comunitaria;2021-06-02 02:57:53;2021-06-02 02:57:53;Alexander
13;Escalar alerta móvil;2021-06-02 02:58:09;2021-06-02 02:58:44;Alexander
13;Contactar seguridad ciudadana;2021-06-02 02:59:46;2021-06-02 03:00:18;Alexander
13;Continuar disuasión y monitorear cámaras;2021-06-02 03:00:18;2021-06-02 03:04:41;Alexander
14;Alarma domiciliaria;2021-06-02 06:45:48;2021-06-02 06:45:48;Sistema
14;Revisar cámaras;2021-06-02 06:46:09;2021-06-02 06:49:54;Alexander
14;Te atrapé;2021-06-02 06:49:54;2021-06-02 06:49:54;Alexander
14;Registrar intruso detectado;2021-06-02 06:50:31;2021-06-02 06:51:05;Alexander
14;Activar alarma casa;2021-06-02 06:51:20;2021-06-02 06:51:20;Alexander
14;Alertar móvil de seguridad;2021-06-02 06:52:54;2021-06-02 06:55:00;Alexander
14;Concurrir a casa afectada;2021-06-02 06:55:10;2021-06-02 07:01:17;Allison
14;Contactar dueño casa;2021-06-02 07:01:45;2021-06-02 07:04:41;Allison
14;Notificar llegada a central;2021-06-02 07:04:41;2021-06-02 07:05:22;Allison
14;Revisar eventuales daños;2021-06-02 07:07:19;2021-06-02 07:25:29;Allison
14;Notificar fin operativo;2021-06-02 07:28:30;2021-06-02 07:31:34;Allison
14;Dar mensajes disuasivos;2021-06-02 06:55:09;2021-06-02 06:56:18;Alexander
15;Alarma domiciliaria;2021-06-02 02:45:47;2021-06-02 02:45:47;Sistema
15;Revisar cámaras;2021-06-02 02:46:31;2021-06-02 02:48:33;Sergio
15;Registrar hecho fortuito;2021-06-02 02:48:33;2021-06-02 02:48:33;Sergio
15;Avisar hecho fortuito;2021-06-02 02:48:51;2021-06-02 02:51:37;Sergio
16;Alarma domiciliaria;2021-06-02 06:45:08;2021-06-02 06:45:08;Sistema
16;Revisar cámaras;2021-06-02 06:45:24;2021-06-02 06:49:48;Sergio
16;Te atrapé;2021-06-02 06:49:48;2021-06-02 06:49:48;Sergio
16;Registrar intruso detectado;2021-06-02 06:50:17;2021-06-02 06:50:43;Sergio
16;Activar alarma casa;2021-06-02 06:50:50;2021-06-02 06:50:50;Sergio
16;Alertar móvil de seguridad;2021-06-02 06:52:48;2021-06-02 06:55:17;Sergio
16;Concurrir a casa afectada;2021-06-02 06:55:19;2021-06-02 07:06:44;Paola
16;Contactar dueño casa;2021-06-02 07:06:50;2021-06-02 07:09:22;Paola
16;Notificar llegada a central;2021-06-02 07:09:22;2021-06-02 07:10:22;Paola
16;Revisar eventuales daños;2021-06-02 07:13:06;2021-06-02 07:28:48;Paola
16;Notificar fin operativo;2021-06-02 07:31:28;2021-06-02 07:34:05;Paola
16;Dar mensajes disuasivos;2021-06-02 06:55:31;2021-06-02 06:58:35;Sergio
16;Activar alarma comunitaria;2021-06-02 06:58:43;2021-06-02 06:58:43;Sergio
16;Escalar alerta móvil;2021-06-02 06:58:57;2021-06-02 06:59:27;Sergio
16;Contactar seguridad ciudadana;2021-06-02 07:00:25;2021-06-02 07:01:09;Sergio
16;Continuar disuasión y monitorear cámaras;2021-06-02 07:01:09;2021-06-02 07:09:22;Sergio
17;Alarma domiciliaria;2021-06-02 01:25:08;2021-06-02 01:25:08;Sistema
17;Revisar cámaras;2021-06-02 01:25:29;2021-06-02 01:27:20;Jose
17;Te atrapé;2021-06-02 01:27:20;2021-06-02 01:27:20;Jose
17;Señal persona casa;2021-06-02 01:27:53;2021-06-02 01:28:15;Jose
18;Alarma domiciliaria;2021-06-02 04:05:06;2021-06-02 04:05:06;Sistema
18;Revisar cámaras;2021-06-02 04:05:46;2021-06-02 04:07:58;Jose
18;Registrar hecho fortuito;2021-06-02 04:07:58;2021-06-02 04:07:58;Jose
18;Avisar hecho fortuito;2021-06-02 04:08:16;2021-06-02 04:12:30;Jose
19;Alarma domiciliaria;2021-06-02 06:45:09;2021-06-02 06:45:09;Sistema
19;Revisar cámaras;2021-06-02 06:45:33;2021-06-02 06:50:33;Jose
19;Registrar hecho no precisado;2021-06-02 06:50:33;2021-06-02 06:50:33;Jose
19;Solicitar revisar alarma;2021-06-02 06:50:54;2021-06-02 06:52:17;Jose
20;Alarma domiciliaria;2021-06-02 01:25:57;2021-06-02 01:25:57;Sistema
20;Revisar cámaras;2021-06-02 01:26:50;2021-06-02 01:31:50;Ignacio
20;Registrar hecho no precisado;2021-06-02 01:31:50;2021-06-02 01:31:50;Ignacio
20;Solicitar revisar alarma;2021-06-02 01:32:13;2021-06-02 01:33:53;Ignacio
21;Alarma domiciliaria;2021-06-02 04:05:50;2021-06-02 04:05:50;Sistema
21;Revisar cámaras;2021-06-02 04:06:12;2021-06-02 04:10:44;Ignacio
21;Te atrapé;2021-06-02 04:10:44;2021-06-02 04:10:44;Ignacio
21;Señal persona casa;2021-06-02 04:12:09;2021-06-02 04:12:28;Ignacio
21;Clave digitada;2021-06-02 04:14:47;2021-06-02 04:14:47;Sistema
22;Alarma domiciliaria;2021-06-02 06:44:56;2021-06-02 06:44:56;Sistema
22;Revisar cámaras;2021-06-02 06:45:47;2021-06-02 06:48:48;Ignacio
22;Registrar hecho fortuito;2021-06-02 06:48:48;2021-06-02 06:48:48;Ignacio
22;Avisar hecho fortuito;2021-06-02 06:49:12;2021-06-02 06:51:43;Ignacio
23;Alarma domiciliaria;2021-06-03 00:44:42;2021-06-03 00:44:42;Sistema
23;Revisar cámaras;2021-06-03 00:44:58;2021-06-03 00:48:04;Pablo
23;Registrar hecho fortuito;2021-06-03 00:48:04;2021-06-03 00:48:04;Pablo
23;Avisar hecho fortuito;2021-06-03 00:48:22;2021-06-03 00:51:44;Pablo
24;Alarma domiciliaria;2021-06-03 02:44:18;2021-06-03 02:44:18;Sistema
24;Revisar cámaras;2021-06-03 02:44:26;2021-06-03 02:48:28;Pablo
24;Te atrapé;2021-06-03 02:48:28;2021-06-03 02:48:28;Pablo
24;Registrar intruso detectado;2021-06-03 02:49:31;2021-06-03 02:50:33;Pablo
24;Activar alarma casa;2021-06-03 02:50:59;2021-06-03 02:50:59;Pablo
24;Alertar móvil de seguridad;2021-06-03 02:52:52;2021-06-03 02:54:22;Pablo
24;Concurrir a casa afectada;2021-06-03 02:54:23;2021-06-03 03:01:35;Franco
24;Contactar dueño casa;2021-06-03 03:01:52;2021-06-03 03:03:27;Franco
24;Notificar llegada a central;2021-06-03 03:03:27;2021-06-03 03:04:05;Franco
24;Revisar eventuales daños;2021-06-03 03:06:52;2021-06-03 03:26:13;Franco
24;Notificar fin operativo;2021-06-03 03:28:45;2021-06-03 03:32:35;Franco
24;Dar mensajes disuasivos;2021-06-03 02:54:30;2021-06-03 02:56:46;Pablo
25;Alarma domiciliaria;2021-06-03 04:44:44;2021-06-03 04:44:44;Sistema
25;Revisar cámaras;2021-06-03 04:45:24;2021-06-03 04:50:24;Pablo
25;Registrar hecho no precisado;2021-06-03 04:50:24;2021-06-03 04:50:24;Pablo
25;Solicitar revisar alarma;2021-06-03 04:50:40;2021-06-03 04:52:19;Pablo
26;Alarma domiciliaria;2021-06-03 06:43:46;2021-06-03 06:43:46;Sistema
26;Revisar cámaras;2021-06-03 06:44:35;2021-06-03 06:46:26;Pablo
26;Te atrapé;2021-06-03 06:46:26;2021-06-03 06:46:26;Pablo
26;Señal persona casa;2021-06-03 06:48:33;2021-06-03 06:48:51;Pablo
26;Clave digitada;2021-06-03 06:50:53;2021-06-03 06:50:53;Sistema
27;Alarma domiciliaria;2021-06-03 00:44:47;2021-06-03 00:44:47;Sistema
27;Revisar cámaras;2021-06-03 00:45:21;2021-06-03 00:46:47;Catalina
27;Te atrapé;2021-06-03 00:46:47;2021-06-03 00:46:47;Catalina
27;Señal persona casa;2021-06-03 00:48:01;2021-06-03 00:48:27;Catalina
27;Clave digitada;2021-06-03 00:51:00;2021-06-03 00:51:00;Sistema
28;Alarma domiciliaria;2021-06-03 02:44:00;2021-06-03 02:44:00;Sistema
28;Revisar cámaras;2021-06-03 02:44:11;2021-06-03 02:49:11;Catalina
28;Registrar hecho no precisado;2021-06-03 02:49:11;2021-06-03 02:49:11;Catalina
28;Solicitar revisar alarma;2021-06-03 02:49:29;2021-06-03 02:51:08;Catalina
29;Alarma domiciliaria;2021-06-03 04:44:20;2021-06-03 04:44:20;Sistema
29;Revisar cámaras;2021-06-03 04:44:36;2021-06-03 04:49:08;Catalina
29;Te atrapé;2021-06-03 04:49:08;2021-06-03 04:49:08;Catalina
29;Registrar intruso detectado;2021-06-03 04:50:12;2021-06-03 04:50:54;Catalina
29;Activar alarma casa;2021-06-03 04:51:15;2021-06-03 04:51:15;Catalina
29;Alertar móvil de seguridad;2021-06-03 04:52:51;2021-06-03 04:55:12;Catalina
29;Concurrir a casa afectada;2021-06-03 04:55:20;2021-06-03 05:04:30;Tomas
29;Contactar dueño casa;2021-06-03 05:04:54;2021-06-03 05:06:43;Tomas
29;Notificar llegada a central;2021-06-03 05:06:43;2021-06-03 05:07:46;Tomas
29;Revisar eventuales daños;2021-06-03 05:09:59;2021-06-03 05:24:26;Tomas
29;Notificar fin operativo;2021-06-03 05:27:16;2021-06-03 05:30:07;Tomas
29;Dar mensajes disuasivos;2021-06-03 04:55:29;2021-06-03 04:57:43;Catalina
30;Alarma domiciliaria;2021-06-03 06:43:33;2021-06-03 06:43:33;Sistema
30;Revisar cámaras;2021-06-03 06:44:01;2021-06-03 06:47:06;Catalina
30;Registrar hecho fortuito;2021-06-03 06:47:06;2021-06-03 06:47:06;Catalina
30;Avisar hecho fortuito;2021-06-03 06:47:25;2021-06-03 06:49:46;Catalina
31;Alarma domiciliaria;2021-06-03 00:45:45;2021-06-03 00:45:45;Sistema
31;Revisar cámaras;2021-06-03 00:46:36;2021-06-03 00:50:51;Lorenzo
31;Registrar hecho fortuito;2021-06-03 00:50:51;2021-06-03 00:50:51;Lorenzo
31;Avisar hecho fortuito;2021-06-03 00:51:04;2021-06-03 00:53:17;Lorenzo
32;Alarma domiciliaria;2021-06-03 02:45:37;2021-06-03 02:45:37;Sistema
32;Revisar cámaras;2021-06-03 02:46:11;2021-06-03 02:50:56;Lorenzo
32;Registrar hecho fortuito;2021-06-03 02:50:56;2021-06-03 02:50:56;Lorenzo
32;Avisar hecho fortuito;2021-06-03 02:51:15;2021-06-03 02:53:39;Lorenzo
33;Alarma domiciliaria;2021-06-03 04:46:32;2021-06-03 04:46:32;Sistema
33;Revisar cámaras;2021-06-03 04:46:49;2021-06-03 04:50:05;Lorenzo
33;Te atrapé;2021-06-03 04:50:05;2021-06-03 04:50:05;Lorenzo
33;Registrar intruso detectado;2021-06-03 04:50:18;2021-06-03 04:51:23;Lorenzo
33;Activar alarma casa;2021-06-03 04:51:32;2021-06-03 04:51:32;Lorenzo
33;Alertar móvil de seguridad;2021-06-03 04:53:18;2021-06-03 04:55:19;Lorenzo
33;Concurrir a casa afectada;2021-06-03 04:55:30;2021-06-03 05:02:34;Pedro
33;Contactar dueño casa;2021-06-03 05:02:43;2021-06-03 05:04:37;Pedro
33;Notificar llegada a central;2021-06-03 05:04:37;2021-06-03 05:05:43;Pedro
33;Revisar eventuales daños;2021-06-03 05:08:06;2021-06-03 05:25:23;Pedro
33;Notificar fin operativo;2021-06-03 05:28:28;2021-06-03 05:31:29;Pedro
33;Dar mensajes disuasivos;2021-06-03 04:55:28;2021-06-03 04:58:14;Lorenzo
33;Activar alarma comunitaria;2021-06-03 04:58:23;2021-06-03 04:58:23;Lorenzo
33;Escalar alerta móvil;2021-06-03 04:58:44;2021-06-03 04:59:01;Lorenzo
33;Contactar seguridad ciudadana;2021-06-03 04:59:47;2021-06-03 05:00:08;Lorenzo
33;Continuar disuasión y monitorear cámaras;2021-06-03 05:00:08;2021-06-03 05:04:37;Lorenzo
34;Alarma domiciliaria;2021-06-03 06:45:58;2021-06-03 06:45:58;Sistema
34;Revisar cámaras;2021-06-03 06:46:38;2021-06-03 06:48:26;Lorenzo
34;Te atrapé;2021-06-03 06:48:26;2021-06-03 06:48:26;Lorenzo
34;Registrar intruso detectado;2021-06-03 06:48:57;2021-06-03 06:49:51;Lorenzo
34;Activar alarma casa;2021-06-03 06:50:26;2021-06-03 06:50:26;Lorenzo
34;Alertar móvil de seguridad;2021-06-03 06:51:58;2021-06-03 06:54:23;Lorenzo
34;Concurrir a casa afectada;2021-06-03 06:54:23;2021-06-03 07:03:21;Francesco
34;Contactar dueño casa;2021-06-03 07:03:47;2021-06-03 07:06:12;Francesco
34;Notificar llegada a central;2021-06-03 07:06:12;2021-06-03 07:07:28;Francesco
34;Revisar eventuales daños;2021-06-03 07:09:57;2021-06-03 07:26:29;Francesco
34;Notificar fin operativo;2021-06-03 07:28:52;2021-06-03 07:32:09;Francesco
34;Dar mensajes disuasivos;2021-06-03 06:54:37;2021-06-03 06:56:05;Lorenzo
34;Activar alarma comunitaria;2021-06-03 06:56:12;2021-06-03 06:56:12;Lorenzo
34;Escalar alerta móvil;2021-06-03 06:56:30;2021-06-03 06:56:55;Lorenzo
34;Contactar seguridad ciudadana;2021-06-03 06:57:53;2021-06-03 06:58:32;Lorenzo
34;Continuar disuasión y monitorear cámaras;2021-06-03 06:58:32;2021-06-03 07:06:12;Lorenzo
35;Alarma domiciliaria;2021-06-03 01:25:00;2021-06-03 01:25:00;Sistema
35;Revisar cámaras;2021-06-03 01:25:11;2021-06-03 01:29:27;Alexander
35;Te atrapé;2021-06-03 01:29:27;2021-06-03 01:29:27;Alexander
35;Señal persona casa;2021-06-03 01:30:29;2021-06-03 01:30:56;Alexander
35;Clave digitada;2021-06-03 01:34:23;2021-06-03 01:34:23;Sistema
36;Alarma domiciliaria;2021-06-03 04:06:00;2021-06-03 04:06:00;Sistema
36;Revisar cámaras;2021-06-03 04:06:29;2021-06-03 04:10:43;Alexander
36;Te atrapé;2021-06-03 04:10:43;2021-06-03 04:10:43;Alexander
36;Registrar intruso detectado;2021-06-03 04:11:45;2021-06-03 04:12:21;Alexander
36;Activar alarma casa;2021-06-03 04:12:48;2021-06-03 04:12:48;Alexander
36;Alertar móvil de seguridad;2021-06-03 04:14:28;2021-06-03 04:16:59;Alexander
36;Concurrir a casa afectada;2021-06-03 04:17:10;2021-06-03 04:27:22;Francesco
36;Contactar dueño casa;2021-06-03 04:27:38;2021-06-03 04:29:46;Francesco
36;Notificar llegada a central;2021-06-03 04:29:46;2021-06-03 04:30:59;Francesco
36;Revisar eventuales daños;2021-06-03 04:33:26;2021-06-03 04:51:14;Francesco
36;Notificar fin operativo;2021-06-03 04:54:19;2021-06-03 04:58:20;Francesco
36;Dar mensajes disuasivos;2021-06-03 04:17:06;2021-06-03 04:18:07;Alexander
36;Activar alarma comunitaria;2021-06-03 04:18:16;2021-06-03 04:18:16;Alexander
36;Escalar alerta móvil;2021-06-03 04:18:30;2021-06-03 04:19:03;Alexander
36;Contactar seguridad ciudadana;2021-06-03 04:19:40;2021-06-03 04:20:18;Alexander
36;Continuar disuasión y monitorear cámaras;2021-06-03 04:20:18;2021-06-03 04:29:46;Alexander
37;Alarma domiciliaria;2021-06-03 06:45:10;2021-06-03 06:45:10;Sistema
37;Revisar cámaras;2021-06-03 06:45:26;2021-06-03 06:47:45;Alexander
37;Te atrapé;2021-06-03 06:47:45;2021-06-03 06:47:45;Alexander
37;Señal persona casa;2021-06-03 06:48:52;2021-06-03 06:49:17;Alexander
37;Clave digitada;2021-06-03 06:51:14;2021-06-03 06:51:14;Sistema
38;Alarma domiciliaria;2021-06-03 00:20:33;2021-06-03 00:20:33;Sistema
38;Revisar cámaras;2021-06-03 00:20:45;2021-06-03 00:24:05;Sergio
38;Registrar hecho fortuito;2021-06-03 00:24:05;2021-06-03 00:24:05;Sergio
38;Avisar hecho fortuito;2021-06-03 00:24:22;2021-06-03 00:28:24;Sergio
39;Alarma domiciliaria;2021-06-03 01:55:43;2021-06-03 01:55:43;Sistema
39;Revisar cámaras;2021-06-03 01:56:37;2021-06-03 01:58:34;Sergio
39;Te atrapé;2021-06-03 01:58:34;2021-06-03 01:58:34;Sergio
39;Registrar intruso detectado;2021-06-03 01:59:39;2021-06-03 02:00:43;Sergio
39;Activar alarma casa;2021-06-03 02:01:19;2021-06-03 02:01:19;Sergio
39;Alertar móvil de seguridad;2021-06-03 02:02:47;2021-06-03 02:04:35;Sergio
39;Concurrir a casa afectada;2021-06-03 02:04:37;2021-06-03 02:14:12;Josefa
39;Contactar dueño casa;2021-06-03 02:14:22;2021-06-03 02:16:58;Josefa
39;Notificar llegada a central;2021-06-03 02:16:58;2021-06-03 02:17:42;Josefa
39;Revisar eventuales daños;2021-06-03 02:19:06;2021-06-03 02:40:03;Josefa
39;Notificar fin operativo;2021-06-03 02:42:36;2021-06-03 02:45:42;Josefa
39;Dar mensajes disuasivos;2021-06-03 02:04:43;2021-06-03 02:05:59;Sergio
39;Activar alarma comunitaria;2021-06-03 02:06:05;2021-06-03 02:06:05;Sergio
39;Escalar alerta móvil;2021-06-03 02:06:34;2021-06-03 02:07:09;Sergio
39;Contactar seguridad ciudadana;2021-06-03 02:07:52;2021-06-03 02:08:32;Sergio
39;Continuar disuasión y monitorear cámaras;2021-06-03 02:08:32;2021-06-03 02:16:58;Sergio
40;Alarma domiciliaria;2021-06-03 03:30:46;2021-06-03 03:30:46;Sistema
40;Revisar cámaras;2021-06-03 03:31:03;2021-06-03 03:36:03;Sergio
40;Registrar hecho no precisado;2021-06-03 03:36:03;2021-06-03 03:36:03;Sergio
40;Solicitar revisar alarma;2021-06-03 03:36:20;2021-06-03 03:37:41;Sergio
41;Alarma domiciliaria;2021-06-03 05:07:38;2021-06-03 05:07:38;Sistema
41;Revisar cámaras;2021-06-03 05:08:02;2021-06-03 05:09:46;Sergio
41;Te atrapé;2021-06-03 05:09:46;2021-06-03 05:09:46;Sergio
41;Señal persona casa;2021-06-03 05:10:37;2021-06-03 05:11:04;Sergio
41;Clave digitada;2021-06-03 05:13:47;2021-06-03 05:13:47;Sistema
42;Alarma domiciliaria;2021-06-03 06:42:47;2021-06-03 06:42:47;Sistema
42;Revisar cámaras;2021-06-03 06:43:03;2021-06-03 06:46:31;Sergio
42;Te atrapé;2021-06-03 06:46:31;2021-06-03 06:46:31;Sergio
42;Señal persona casa;2021-06-03 06:47:23;2021-06-03 06:47:43;Sergio
43;Alarma domiciliaria;2021-06-03 00:45:19;2021-06-03 00:45:19;Sistema
43;Revisar cámaras;2021-06-03 00:46:08;2021-06-03 00:48:29;Jose
43;Te atrapé;2021-06-03 00:48:29;2021-06-03 00:48:29;Jose
43;Registrar intruso detectado;2021-06-03 00:48:50;2021-06-03 00:49:48;Jose
43;Activar alarma casa;2021-06-03 00:50:02;2021-06-03 00:50:02;Jose
43;Alertar móvil de seguridad;2021-06-03 00:51:30;2021-06-03 00:53:45;Jose
43;Concurrir a casa afectada;2021-06-03 00:53:52;2021-06-03 00:59:09;Sebastian
43;Contactar dueño casa;2021-06-03 00:59:30;2021-06-03 01:02:08;Sebastian
43;Notificar llegada a central;2021-06-03 01:02:08;2021-06-03 01:03:17;Sebastian
43;Revisar eventuales daños;2021-06-03 01:05:58;2021-06-03 01:26:06;Sebastian
43;Notificar fin operativo;2021-06-03 01:29:09;2021-06-03 01:31:57;Sebastian
43;Dar mensajes disuasivos;2021-06-03 00:53:58;2021-06-03 00:56:50;Jose
43;Activar alarma comunitaria;2021-06-03 00:56:59;2021-06-03 00:56:59;Jose
43;Escalar alerta móvil;2021-06-03 00:57:22;2021-06-03 00:57:47;Jose
43;Contactar seguridad ciudadana;2021-06-03 00:58:11;2021-06-03 00:58:29;Jose
43;Continuar disuasión y monitorear cámaras;2021-06-03 00:58:29;2021-06-03 01:02:08;Jose
44;Alarma domiciliaria;2021-06-03 02:44:34;2021-06-03 02:44:34;Sistema
44;Revisar cámaras;2021-06-03 02:45:06;2021-06-03 02:49:48;Jose
44;Registrar hecho fortuito;2021-06-03 02:49:48;2021-06-03 02:49:48;Jose
44;Avisar hecho fortuito;2021-06-03 02:50:08;2021-06-03 02:53:51;Jose
45;Alarma domiciliaria;2021-06-03 04:45:17;2021-06-03 04:45:17;Sistema
45;Revisar cámaras;2021-06-03 04:45:33;2021-06-03 04:48:15;Jose
45;Te atrapé;2021-06-03 04:48:15;2021-06-03 04:48:15;Jose
45;Registrar intruso detectado;2021-06-03 04:48:41;2021-06-03 04:49:19;Jose
45;Activar alarma casa;2021-06-03 04:49:45;2021-06-03 04:49:45;Jose
45;Alertar móvil de seguridad;2021-06-03 04:51:10;2021-06-03 04:53:09;Jose
45;Concurrir a casa afectada;2021-06-03 04:53:10;2021-06-03 04:59:14;Ivanna
45;Contactar dueño casa;2021-06-03 04:59:34;2021-06-03 05:02:10;Ivanna
45;Notificar llegada a central;2021-06-03 05:02:10;2021-06-03 05:03:26;Ivanna
45;Revisar eventuales daños;2021-06-03 05:05:52;2021-06-03 05:23:03;Ivanna
45;Notificar fin operativo;2021-06-03 05:25:22;2021-06-03 05:28:09;Ivanna
45;Dar mensajes disuasivos;2021-06-03 04:53:23;2021-06-03 04:54:43;Jose
46;Alarma domiciliaria;2021-06-03 06:45:57;2021-06-03 06:45:57;Sistema
46;Revisar cámaras;2021-06-03 06:46:45;2021-06-03 06:50:46;Jose
46;Te atrapé;2021-06-03 06:50:46;2021-06-03 06:50:46;Jose
46;Registrar intruso detectado;2021-06-03 06:51:35;2021-06-03 06:52:14;Jose
46;Activar alarma casa;2021-06-03 06:52:28;2021-06-03 06:52:28;Jose
46;Alertar móvil de seguridad;2021-06-03 06:54:20;2021-06-03 06:56:26;Jose
46;Concurrir a casa afectada;2021-06-03 06:56:32;2021-06-03 07:06:33;Barbara
46;Contactar dueño casa;2021-06-03 07:06:53;2021-06-03 07:09:55;Barbara
46;Notificar llegada a central;2021-06-03 07:09:55;2021-06-03 07:10:49;Barbara
46;Revisar eventuales daños;2021-06-03 07:12:57;2021-06-03 07:29:54;Barbara
46;Notificar fin operativo;2021-06-03 07:32:44;2021-06-03 07:35:57;Barbara
46;Dar mensajes disuasivos;2021-06-03 06:56:37;2021-06-03 06:58:33;Jose
46;Activar alarma comunitaria;2021-06-03 06:58:40;2021-06-03 06:58:40;Jose
46;Escalar alerta móvil;2021-06-03 06:58:56;2021-06-03 06:59:19;Jose
